Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,2400,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,47,400,1880,978,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,40,390,1560,811,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,33,388,1280,666,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,34,384,1306,679,Outlet
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,1166,559,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store
West Gear,1185732,8/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,2250,Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,1969,Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,41,375,1538,800,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,29,374,1085,445,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,33,372,1228,663,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,44,366,1610,837,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,56,360,2016,1250,Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,37,359,1328,452,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,48,355,1704,511,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,46,354,1628,1026,Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,47,352,1654,447,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store
West Gear,1185732,5/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store
Amazon,1185732,4/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,3500,Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,2450,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,1838,Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,3063,Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,32,350,1120,414,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,36,350,1260,365,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,43,350,1505,497,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,45,350,1575,473,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,38,350,1330,758,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,907,426,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,46,347,1596,511,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,2415,In-store
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,41,341,1398,601,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,41,340,1394,474,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,48,340,1632,490,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,41,338,1386,527,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,47,336,1579,963,Online
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,39,333,1299,351,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,42,333,1399,559,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,32,333,1066,426,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,34,333,1132,476,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Men's Athletic Footwear,46,332,1527,321,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,35,332,1162,546,Outlet
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,38,330,1254,401,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,50,330,1650,462,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,2021,1152,Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25,325,8125,2844,In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,15,325,4875,1706,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10,325,3250,1300,In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,Men's Apparel,20,325,6500,2275,In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,325,8125,3250,Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25,325,8125,3250,Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,325,6500,2275,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15,325,4875,1950,Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,25,325,8125,2844,Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,325,4875,1950,Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,20,325,6500,2275,Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20,325,6500,2275,Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20,325,6500,2600,In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,58,325,1885,1150,Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,40,324,1296,518,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,63,323,2035,1140,Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,32,323,1034,393,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,36,323,1163,314,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,33,323,1066,448,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,53,322,1707,478,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,40,322,1288,425,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,33,322,1063,446,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,30,322,966,483,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,Women's Street Footwear,31,322,998,559,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,25,320,8000,3200,Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,36,320,1152,403,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,44,320,1408,408,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,59,319,1882,1129,Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,37,319,1180,531,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,Men's Street Footwear,43,319,1372,782,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,41,318,1304,482,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,54,317,1712,1096,Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,39,315,1229,405,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,397,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,35,315,1103,364,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,28,315,882,335,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,36,315,1134,442,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,44,315,1386,513,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,24,315,756,295,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,36,315,1134,431,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,39,315,1229,565,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,27,314,848,348,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,37,314,1162,430,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,39,314,1225,576,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,46,313,1440,893,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,55,313,1722,1050,Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,62,312,1934,1238,Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,1186,700,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,40,312,1248,449,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,1959,1156,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,43,310,1333,467,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,53,308,1632,669,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,1879,996,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,43,306,1316,487,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,43,306,1316,461,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,34,306,1040,406,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,41,306,1255,502,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,20,306,612,257,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,23,306,704,260,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,29,306,887,364,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,31,306,949,379,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,41,306,1255,690,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,60,306,1836,477,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Men's Athletic Footwear,46,306,1408,282,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,Men's Street Footwear,36,306,1102,496,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,37,306,1132,668,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,62,306,1897,816,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,64,305,1952,761,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,27,305,824,305,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,33,305,1007,382,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,39,305,1190,511,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,60,304,1824,1040,Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,36,302,1087,565,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,45,302,1359,544,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store
West Gear,1185732,2/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,2100,In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,2625,Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,15,300,4500,1800,Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,20,300,6000,2400,Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15,300,4500,1575,Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,300,4500,1575,Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,3150,Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,30,300,9000,3150,Online
West Gear,1185732,6/3/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30,300,9000,3150,In-store
West Gear,1185732,1/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25,300,7500,2625,In-store
West Gear,1185732,2/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,20,300,6000,2400,In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25,300,7500,3000,In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30,300,9000,3600,In-store
Sports Direct,1185732,1/7/2021,Northeast,New Jersey,Newark,Women's Street Footwear,30,300,9000,2700,In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,45,300,1350,837,Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,51,300,1530,643,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,52,300,1560,874,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,60,299,1794,1076,Online
West Gear,1185732,9/11/2020,Southeast,Florida,Miami,Men's Street Footwear,60,299,1794,1076,Online
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,42,298,1252,713,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,38,298,1132,430,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,60,298,1788,751,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,39,297,1158,533,Online
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,38,297,1129,429,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,36,297,1069,470,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,68,297,2020,747,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,37,296,1095,383,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,37,296,1095,449,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25,295,7375,2581,In-store
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,35,295,1033,434,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,32,295,944,538,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,28,295,826,339,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,29,295,856,342,Outlet
Sports Direct,1185732,7/2/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60,294,1764,882,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,43,294,1264,531,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,47,293,1377,868,Online
West Gear,1128299,2/11/2021,West,California,San Francisco,Men's Street Footwear,51,293,1494,598,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,48,290,1392,529,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,59,290,1711,616,Online
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,62,290,1798,665,Online
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,68,290,1972,749,Online
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,68,290,1972,690,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,55,290,1595,941,Online
Foot Locker,1185732,12/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67,290,1943,1166,Online
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,43,289,1243,398,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,31,289,896,331,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,33,289,954,381,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,51,289,1474,472,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,23,289,665,279,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,44,289,1272,725,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,28,289,809,340,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,36,289,1040,343,Outlet
Kohl's,1189833,5/7/2021,West,California,Los Angeles,Men's Street Footwear,38,289,1098,505,Outlet
Foot Locker,1185732,7/16/2021,South,Mississippi,Jackson,Men's Street Footwear,47,289,1358,625,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,36,288,1037,435,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,45,288,1296,441,Outlet
Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,42,288,1210,339,Outlet
West Gear,1185732,2/10/2021,Southeast,Florida,Orlando,Men's Street Footwear,36,288,1037,487,Outlet
Foot Locker,1185732,9/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51,287,1464,849,Online
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,30,287,861,362,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Men's Street Footwear,40,287,1148,402,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Men's Athletic Footwear,42,287,1205,205,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,61,286,1745,698,Online
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,54,285,1539,723,Online
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,44,285,1254,602,Online
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,46,285,1311,787,Online
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,32,285,912,383,Outlet
Kohl's,1189833,4/25/2021,West,California,Los Angeles,Men's Street Footwear,30,285,855,402,Outlet
Foot Locker,1185732,9/23/2020,Southeast,Florida,Miami,Men's Street Footwear,53,284,1505,828,Online
Foot Locker,1185732,4/6/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,33,283,934,532,Online
Foot Locker,1185732,5/5/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,48,282,1354,744,Online
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,36,281,1012,374,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,44,281,1236,445,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,34,281,955,373,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,42,281,1180,531,Outlet
Sports Direct,1197831,10/16/2021,South,Texas,Dallas,Men's Street Footwear,46,281,1293,608,Outlet
Foot Locker,1185732,1/9/2021,Southeast,Georgia,Atlanta,Women's Apparel,30,281,843,447,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,59,280,1652,661,Online
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,47,280,1316,461,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,47,280,1316,474,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Men's Athletic Footwear,39,280,1092,197,Outlet
Sports Direct,1197831,9/11/2021,South,Texas,Dallas,Men's Athletic Footwear,40,280,1120,459,Outlet
Sports Direct,1197831,9/15/2021,South,Texas,Dallas,Women's Apparel,42,280,1176,647,Outlet
Sports Direct,1197831,9/5/2021,South,Alabama,Birmingham,Women's Apparel,36,280,1008,645,Outlet
Sports Direct,1197831,9/11/2021,South,Alabama,Birmingham,Women's Apparel,47,280,1316,921,Outlet
Walmart,1128299,12/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,58,280,1624,585,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,43,279,1200,396,Outlet
